#           x             k
      0.04075     0.0342815
    0.0710455     0.0312378
     0.101341     0.0286976
     0.131636     0.0265277
     0.161932     0.0246532
     0.192227     0.0230182
     0.222523     0.0215797
     0.252818     0.0203049
     0.283114     0.0191675
     0.313409     0.0181469
     0.343705      0.017226
        0.374     0.0163911
     0.404295     0.0156307
     0.434591     0.0149354
     0.464886      0.014297
     0.495182     0.0137092
     0.525477     0.0131659
     0.555773     0.0126624
     0.586068     0.0121946
     0.616364      0.011759
     0.646659     0.0113523
     0.676955     0.0109719
      0.70725     0.0106154
     0.737545     0.0102806
     0.767841    0.00996563
     0.798136    0.00966896
     0.828432    0.00938895
     0.858727    0.00912416
     0.889023    0.00887359
     0.919318    0.00863591
     0.949614    0.00841043
     0.979909    0.00819597
       1.0102    0.00799182
       1.0405     0.0077975
       1.0708    0.00761209
      1.10109    0.00743504
      1.13139    0.00726585
      1.16168    0.00710384
      1.19198    0.00694881
      1.22227    0.00680017
      1.25257    0.00665745
      1.28286    0.00652055
      1.31316    0.00638941
      1.34345    0.00626276
      1.37375    0.00614127
      1.40405    0.00602408
      1.43434    0.00591141
      1.46464     0.0058022
      1.49493    0.00569774
      1.52523     0.0055963
      1.55552    0.00549798
      1.58582    0.00540376
      1.61611    0.00531257
      1.64641    0.00522411
       1.6767    0.00513828
        1.707    0.00505515
       1.7373    0.00497461
      1.76759    0.00489658
      1.79789    0.00482095
      1.82818    0.00474762
      1.85848    0.00467649
      1.88877    0.00460748
      1.91907    0.00454048
      1.94936     0.0044754
      1.97966    0.00441213
      2.00995    0.00435053
      2.04025    0.00429045
      2.07055    0.00423178
      2.10084    0.00417469
      2.13114    0.00411945
      2.16143    0.00406559
      2.19173    0.00401282
      2.22202    0.00396184
      2.25232     0.0039133
      2.28261    0.00386377
      2.31291    0.00381485
       2.3432     0.0037724
       2.3735    0.00373137
       2.4038    0.00367953
      2.43409    0.00364439
      2.46439    0.00362094
      2.49468    0.00355748
      2.52498    0.00354125
      2.55527    0.00353739
      2.58557    0.00345623
      2.61586    0.00350567
      2.64616    0.00346567
      2.67645     0.0034178
      2.70675    0.00359113
      2.73705    0.00338555
      2.76734     0.0036539
      2.79764    0.00352205
      2.82793    0.00366311
      2.85823     0.0038672
      2.88852    0.00374289
      2.91882    0.00435063
      2.94911    0.00384315
      2.97941    0.00520006
       3.0097    0.00464181
         3.04    0.00592676
