#           x             k
      0.04075      0.039366
    0.0710455      0.039366
     0.101341      0.039366
     0.131636      0.039366
     0.161932      0.039366
     0.192227      0.039366
     0.222523      0.039366
     0.252818      0.039366
     0.283114      0.039366
     0.313409      0.039366
     0.343705      0.039366
        0.374      0.039366
     0.404295      0.039366
     0.434591      0.039366
     0.464886      0.039366
     0.495182      0.039366
     0.525477      0.039366
     0.555773      0.039366
     0.586068      0.039366
     0.616364      0.039366
     0.646659      0.039366
     0.676955      0.039366
      0.70725      0.039366
     0.737545      0.039366
     0.767841      0.039366
     0.798136      0.039366
     0.828432      0.039366
     0.858727      0.039366
     0.889023      0.039366
     0.919318      0.039366
     0.949614      0.039366
     0.979909      0.039366
       1.0102      0.039366
       1.0405      0.039366
       1.0708      0.039366
      1.10109      0.039366
      1.13139      0.039366
      1.16168      0.039366
      1.19198      0.039366
      1.22227      0.039366
      1.25257      0.039366
      1.28286      0.039366
      1.31316      0.039366
      1.34345      0.039366
      1.37375      0.039366
      1.40405      0.039366
      1.43434      0.039366
      1.46464      0.039366
      1.49493      0.039366
      1.52523      0.039366
      1.55552      0.039366
      1.58582      0.039366
      1.61611      0.039366
      1.64641      0.039366
       1.6767      0.039366
        1.707      0.039366
       1.7373      0.039366
      1.76759      0.039366
      1.79789      0.039366
      1.82818      0.039366
      1.85848      0.039366
      1.88877      0.039366
      1.91907      0.039366
      1.94936      0.039366
      1.97966      0.039366
      2.00995      0.039366
      2.04025      0.039366
      2.07055      0.039366
      2.10084      0.039366
      2.13114      0.039366
      2.16143      0.039366
      2.19173      0.039366
      2.22202      0.039366
      2.25232      0.039366
      2.28261      0.039366
      2.31291      0.039366
       2.3432      0.039366
       2.3735      0.039366
       2.4038      0.039366
      2.43409      0.039366
      2.46439      0.039366
      2.49468      0.039366
      2.52498      0.039366
      2.55527      0.039366
      2.58557      0.039366
      2.61586      0.039366
      2.64616      0.039366
      2.67645      0.039366
      2.70675      0.039366
      2.73705      0.039366
      2.76734      0.039366
      2.79764      0.039366
      2.82793      0.039366
      2.85823      0.039366
      2.88852      0.039366
      2.91882      0.039366
      2.94911      0.039366
      2.97941      0.039366
       3.0097      0.039366
         3.04      0.039366
